name;count
BRUNON;8978
YEHOR;8959
ADELAJDA;8904
INGA;8733
MATVII;8730
MARHARYTA;8640
MILANA;8566
LESIA;8550
FRYDERYK;8512
SOFIA;8505
BIANKA;8447
KLAUDIUSZ;8336
MICHAEL;8325
DORIAN;8313
ADA;8306
MAKSIM;8290
MARTIN;8242
ALIAKSEI;8152
WILHELM;8140
JESSICA;8135
EMMA;8109
OLEG;8091
RITA;8081
KARYNA;7945
ESTERA;7939
NATANIEL;7921
LEONARDA;7908
MARZENNA;7900
VALENTYN;7898
ERWIN;7875
ERYKA;7854
STEPAN;7765
YEVA;7679
MAYA;7621
MIESZKO;7609
ALISA;7559
GIZELA;7542
SAMUEL;7526
LILIA;7522
LONGINA;7515
MARCELI;7510
ULIANA;7508
ZLATA;7496
TEOFILA;7486
DONATA;7485
KIRA;7434
LIDIIA;7375
CYPRIAN;7223
IDA;7165
TYMOFII;7153
BERNADETTA;7108
OLESIA;7057
NADZIEJA;7046
GIORGI;6909
WALERIAN;6906
TEKLA;6884
ROSTYSLAV;6853
DAVYD;6824
MYROSLAVA;6756
LEO;6627
EDUARD;6613
KSENIIA;6530
KLEMENS;6527
ELFRYDA;6451
HERBERT;6450
YAUHENI;6416
IRMINA;6372
KRISTINA;6343
KONSTANCJA;6324
RUSLANA;6310
ANETTA;6259
BRAJAN;6208
ARINA;6174
AMANDA;6103
SERGIUSZ;6080
GAJA;6077
SERGII;6026
KEVIN;6017
RYSZARDA;6015
ALENA;5984
FLORENTYNA;5976
DARIIA;5954
NAZARII;5918
VITA;5872
SOLOMIIA;5829
BERNARDA;5820
LEONID;5665
ULADZIMIR;5646
BENIAMIN;5620
IWO;5585
ANASTASIYA;5573
VITALI;5559
YURY;5527
VICTOR;5525
ZOJA;5458
SŁAWOMIRA;5449
WIERA;5305
YULIYA;5300
LUCJA;5294
MIKHAIL;5246
JEREMI;5245
KORDIAN;5216
TATSIANA;5215
LILLA;5180
WALTER;5152
ARIEL;5145
RAISA;5088
EMILIAN;5051
TYMUR;5028
ANATOL;5025
ZYTA;5002
VLADYSLAVA;4990
KATSIARYNA;4960
VOLHA;4933
VIKTORIA;4926
SVIATOSLAV;4912
MAXIMILIAN;4911
KUNEGUNDA;4904
FERDYNAND;4898
ULADZISLAU;4884
LILA;4826
GINTER;4817
KAMILLA;4806
WAWRZYNIEC;4805
HELMUT;4798
EDWIN;4746
OLGIERD;4711
ROLAND;4699
ZHANNA;4699
THOMAS;4697
IHAR;4669
MARCELA;4658
ANDRIY;4653
OLIMPIA;4647
ALEXANDRA;4631
NATALLIA;4622
ANGELINA;4596
KLEMENTYNA;4558
VARVARA;4555
BOHDANA;4552
BAZYLI;4537
IZYDOR;4534
PATRICK;4506
JAŚMINA;4494
OSCAR;4450
DZIANIS;4443
NEL;4424
ANZHELA;4331
EDWARDA;4307
ALEH;4305
LONGIN;4285
IRINA;4271
MIKALAI;4183
KSENIA;4179
EMANUEL;4157
FAUSTYNA;4085
VIKTAR;4048
EVA;4035
JAGNA;4004
NICOLAS;3970
MIRELA;3958
AMADEUSZ;3955
DARYA;3929
FILOMENA;3911
MARINA;3911
SEWERYNA;3911
BALBINA;3908
MAURYCY;3887
ARNOLD;3873
WERNER;3848
SNIZHANA;3802
EMILIIA;3781
ARTSIOM;3780
ZINAIDA;3751
PETER;3738
ANASTASIA;3726
MARYLA;3706
LEONTYNA;3701
YAROSLAVA;3672
MARCJANNA;3670
HENNADII;3654
NATALIYA;3646
SAMANTA;3568
MARIYA;3555
MARYIA;3546
MAKAR;3537
LECHOSŁAW;3529
RAMAN;3471
ZAKHAR;3435
MANFRED;3411
ZORIANA;3393
EDELTRAUDA;3359
OLIWER;3330
HRYHORII;3324
EMILY;3319
KEWIN;3300
VADZIM;3291
MIKITA;3281
NOEMI;3266
OKTAWIA;3252
MIRON;3249
ILYA;3246
BENJAMIN;3239
GALYNA;3230
ERNA;3219
AMALIA;3204
VLADIMIR;3203
ARSEN;3193
ION;3191
SOPHIE;3191
EVELINA;3182
NIKOL;3179
DIONIZY;3169
LEA;3143
PETRONELA;3120
BERTA;3103
MYROSLAV;3077
EWALD;3075
CLAUDIA;3072
ŁUCJAN;3065
JEREMIASZ;3062
NATHAN;3058
CHRISTIAN;3047
JACOB;3044
YURIY;3044
HUGO;3039
IURII;3029
LUBA;2992
HORST;2979
ANZHELIKA;2945
STELLA;2936
PAMELA;2923
KIRYL;2899
MAX;2891
RUTA;2881
OKTAWIAN;2871
ANA;2852
ALEKSANDR;2848
VIKTORYIA;2844
BONIFACY;2842
LARA;2836
BOGNA;2820
ALEXANDR;2816
GERHARD;2810
ZOIA;2806
MILA;2791
NELIA;2790
DANYIL;2772
SERGHEI;2771
WANESSA;2769
MARKO;2746
VALERY;2722
MICHELLE;2721
PAUL;2717
ADELINA;2704
KORNELIUSZ;2678
SVIATLANA;2667
DOMICELA;2666
KRZYSZTOFA;2662
HLIB;2652
TOLA;2631
MIRELLA;2621
ROCH;2616
JOHN;2607
IULIIA;2606
INEZ;2595
ERIKA;2592
OREST;2591
TYTUS;2588
LEV;2567
TIMUR;2566
KASPER;2565
TETYANA;2555
HERONIM;2552
GERDA;2551
ALI;2539
LIUDMILA;2531
KIRIL;2523
SARAH;2519
YAN;2514
ANGELA;2511
SVETLANA;2491
LEONIA;2479
KRYSPIN;2471
MATTHEW;2465
JONASZ;2459
VALENTINA;2458
ALIAKSANDRA;2445
LIUBOMYR;2439
ZIEMOWIT;2427
ANTHONY;2423
