surname;count
MAŚLANKA;5302
TRZECIAK;5301
SKALSKI;5296
STANISŁAWSKA;5291
KOWALCZUK;5288
WŁODARSKI;5288
KITA;5278
MOLENDA;5274
SKOWRONEK;5273
CHOJNOWSKI;5262
WŁODARSKA;5249
MAŃKOWSKA;5246
PUCHALSKI;5245
MICHALCZYK;5243
SZATKOWSKA;5242
SUSKA;5241
CHOJNOWSKA;5235
MROCZKOWSKA;5232
SHEVCHENKO;5232
KRUSZEWSKI;5232
SALAMON;5231
CHMURA;5227
ZDUNEK;5215
KOBUS;5206
KRUSZEWSKA;5205
KOTOWSKI;5194
ŻUK;5185
KIEŁBASA;5181
KOGUT;5180
WYSZYŃSKI;5179
BUCZYŃSKI;5176
TOMALA;5171
AUGUSTYN;5171
MROZEK;5147
JANUSZEWSKI;5145
PUCHALSKA;5140
LENART;5136
WYSZYŃSKA;5129
WARCHOŁ;5123
BUCZYŃSKA;5111
JANUSZEWSKA;5103
NIEMCZYK;5099
PIECHOTA;5096
ADAMIAK;5095
ROBAK;5079
DRABIK;5069
KOS;5067
MARCHEWKA;5067
KOŁAKOWSKI;5062
KOTOWSKA;5056
CHUDY;5051
BANASIK;5047
KAWA;5045
NIEDZIELSKI;5045
GRZESIK;5044
GŁOGOWSKI;5041
GŁOGOWSKA;5033
DRÓŻDŻ;5033
ADAMOWICZ;5030
NIEDZIELSKA;5028
PILCH;5017
STOLARSKI;5013
BUDZYŃSKI;5012
MACIĄG;5009
TOKARZ;5008
KANIEWSKA;5003
KŁOSOWSKI;4999
JARZĄBEK;4996
DĄBKOWSKI;4993
KOPER;4990
WYPYCH;4985
PIŁAT;4971
SOŁTYSIAK;4968
NIEDŹWIECKI;4964
CHUDZIK;4963
PRZYBYŁ;4952
STOLARSKA;4950
ZIĘTEK;4949
BĄKOWSKI;4949
SURMA;4949
MALIK;4946
JAGIELSKA;4945
JAGIELSKI;4939
WIĄCEK;4926
PORĘBSKI;4920
PRUS;4920
STAŃCZAK;4919
KOŁAKOWSKA;4918
KASPEREK;4915
MIŚKIEWICZ;4911
FURMAN;4909
ŻYŁA;4909
KALISZ;4908
BUDZYŃSKA;4907
RUDZIŃSKI;4901
CZEKAJ;4899
GŁĄB;4897
KANIEWSKI;4891
NIEDŹWIECKA;4890
FRĄTCZAK;4890
JURCZAK;4887
JAROS;4882
BĄKOWSKA;4879
GORCZYCA;4867
RYŚ;4853
KŁOSOWSKA;4849
TRACZ;4849
RUDZIŃSKA;4848
BUCZKOWSKI;4847
GADOMSKI;4841
BARTNIK;4838
KUŹMA;4824
BUCZKOWSKA;4822
MOROZ;4813
MOSKAL;4812
BALCERZAK;4809
STACHURSKI;4802
KUCIŃSKI;4795
URBANEK;4793
SOJKA;4787
HERMAN;4785
BIAŁKOWSKA;4782
PORĘBSKA;4776
SZELĄG;4773
DĄBKOWSKA;4767
GOLEC;4759
GADOMSKA;4756
KOPACZ;4755
KORZENIOWSKI;4755
PIETRUSZKA;4752
BIAŁKOWSKI;4745
RUDNIK;4742
WOLIŃSKI;4739
BŁASZCZAK;4736
PIOTROWICZ;4731
KORZENIOWSKA;4729
CZERNIAK;4719
ZABŁOCKI;4705
ROMAN;4699
STACHOWICZ;4693
MILLER;4690
STACHURSKA;4690
OLCZYK;4684
RUDZKI;4682
CICHA;4681
KUCIŃSKA;4680
SZUBA;4675
WOLIŃSKA;4672
RYBARCZYK;4671
ŚLĘZAK;4670
URBANOWICZ;4669
LESIAK;4667
SĘK;4662
RADECKI;4655
TRELA;4653
KULIŃSKI;4652
SZYMKOWIAK;4652
WARZECHA;4652
GRUDZIEŃ;4651
KOSTECKI;4647
